Sector,Coal,Metal,Nonmetal,Stone,Sand & gravel
1983,5496,940,1175,3680,5589
1984,5538,841,1157,3718,5740
1985,5256,750,1156,3842,6084
1986,5115,711,1071,3599,6200
1987,4918,722,1000,3605,6287
1988,4674,746,984,3663,6415
1989,4414,708,970,3614,6473
1990,4320,640,983,3650,6565
1991,4025,533,919,3627,6563
1992,3703,469,855,3654,6316
1993,3429,429,852,3681,6239
1994,3268,413,835,3646,6199
1995,2946,403,809,3649,6052
1996,2689,381,781,3655,6026
1997,2609,374,786,3712,6201
1998,2493,343,801,3822,6443
1999,2306,334,808,3962,6783
2000,2124,309,821,4113,7046
2001,2144,281,785,4282,7131
2002,2065,256,763,4311,7125
2003,1972,258,734,4357,7070
2004,2011,251,741,4401,7074
2005,2063,263,739,4490,7111
2006,2113,280,741,4573,7178
2007,2030,278,725,4639,7199
2008,2129,293,720,4633,7132
2009,2076,289,685,4601,6980
2010,1945,296,654,4525,6863
2011,1975,318,637,4445,6803
2012,1871,351,641,4433,6797
2013,1700,349,882,4362,6466
2014,1632,345,911,4350,6366
2015,1460,315,924,4303,6292
2016,1289,306,906,4298,6290
2017,1216,296,915,4358,6295
2018,1191,295,905,4356,6299
2019,1134,287,920,4338,6289
2020,1009,278,895,4281,6251
